epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.04109,1.53358,3.76838,1.41367,0.00284,0.33333,0.0795,0.04607,1.84369,4.26135,1.11355,1.429e-05,1.429e-05,1.429e-05
2,17.0869,1.50573,3.65941,1.6173,0.00306,0.33333,0.14417,0.1133,1.71146,4.14542,1.07218,4.20212e-05,4.20212e-05,4.20212e-05
3,24.7304,1.63424,3.45013,1.72088,0.00392,0.33333,0.20667,0.17354,1.57253,4.03886,1.02214,6.86206e-05,6.86206e-05,6.86206e-05
4,32.1847,1.02517,3.25132,1.18589,0.00556,0.33333,0.23484,0.19609,1.39852,3.95938,0.98031,9.40882e-05,9.40882e-05,9.40882e-05
5,39.8956,1.14574,3.13758,1.27411,0.00749,0.33333,0.26222,0.21256,1.3695,3.92196,0.96094,0.000118424,0.000118424,0.000118424
6,47.5464,1.16486,2.59966,1.2053,0.00866,0.33333,0.28167,0.22213,1.40974,3.88257,0.95743,0.000141628,0.000141628,0.000141628
7,55.787,1.14118,2.20159,1.14701,0.00753,0.33333,0.28167,0.22784,1.42319,3.81167,0.96215,0.000163701,0.000163701,0.000163701
8,63.5891,1.12266,2.08803,1.17891,0.00673,0.33333,0.26533,0.22726,1.48361,3.76162,0.95838,0.000184641,0.000184641,0.000184641
9,71.2331,1.06312,1.8416,1.10046,0.00823,0.33333,0.26533,0.22731,1.49301,3.74871,0.96253,0.00020445,0.00020445,0.00020445
10,79.0464,1.23131,1.9475,1.2815,0.00849,0.33333,0.26533,0.21971,1.50248,3.72552,0.96423,0.000223127,0.000223127,0.000223127
11,86.7597,1.11052,1.90048,1.08409,0.01449,0.33333,0.26533,0.21991,1.51,3.68454,0.9596,0.000240672,0.000240672,0.000240672
12,94.5468,1.13656,1.79666,1.16207,0.01449,0.33333,0.28167,0.24019,1.49937,3.66224,0.9517,0.000257086,0.000257086,0.000257086
13,102.512,1.17142,1.64865,1.18444,0.01498,0.33333,0.28167,0.2402,1.47239,3.67022,0.93696,0.000272367,0.000272367,0.000272367
14,110.33,1.12795,1.98075,1.18074,0.01646,0.33333,0.28167,0.24616,1.4594,3.67775,0.92807,0.000286517,0.000286517,0.000286517
15,118.412,1.04758,1.72323,1.06449,0.18987,0.33333,0.28167,0.24624,1.4525,3.69975,0.92803,0.000299536,0.000299536,0.000299536
16,126.006,1.06759,1.71511,1.03672,0.51092,0.33333,0.28167,0.24618,1.42118,3.70674,0.92548,0.000311422,0.000311422,0.000311422
17,133.657,1.26402,1.88769,1.19884,0.50761,0.33333,0.28167,0.24416,1.40101,3.68608,0.92199,0.000322177,0.000322177,0.000322177
18,141.183,1.09903,1.67038,1.04389,0.90344,0.33333,0.28167,0.24413,1.42605,3.6545,0.92378,0.0003318,0.0003318,0.0003318
19,148.862,1.13847,1.54851,1.14338,0.92068,0.33333,0.28167,0.24605,1.42995,3.59263,0.93743,0.000340291,0.000340291,0.000340291
20,156.663,1.13705,1.71069,1.18828,0.92941,0.31371,0.28259,0.2464,1.43951,3.5416,0.94592,0.00034765,0.00034765,0.00034765
21,164.483,1.08872,1.57427,1.03466,0.92474,0.33333,0.26596,0.22078,1.52105,3.51347,0.97273,0.000353878,0.000353878,0.000353878
22,172.428,1.04863,1.39421,1.02555,0.9176,0.33333,0.26567,0.21515,1.5532,3.49191,0.98617,0.000358973,0.000358973,0.000358973
23,180.565,1.08496,1.38859,1.10938,0.92161,0.33333,0.26596,0.21673,1.5638,3.46491,0.98053,0.000362937,0.000362937,0.000362937
24,188.352,1.09181,1.37632,1.15544,0.92306,0.33333,0.26597,0.20889,1.54882,3.42099,0.97662,0.00036577,0.00036577,0.00036577
25,196.172,1.09618,1.45932,1.09837,0.92307,0.33333,0.28267,0.22588,1.51265,3.39862,0.95929,0.00036747,0.00036747,0.00036747
26,204.937,1.05053,1.3566,1.02763,0.92367,0.33333,0.28268,0.22803,1.4483,3.37391,0.94982,0.000368039,0.000368039,0.000368039
27,212.702,1.04892,1.39867,1.15853,0.92439,0.33333,0.28203,0.2277,1.47706,3.3746,0.94699,0.000367476,0.000367476,0.000367476
28,220.853,0.96862,1.47075,1.02801,0.92439,0.33333,0.28203,0.2277,1.47706,3.3746,0.94699,0.000365781,0.000365781,0.000365781
29,229.667,1.06994,1.43942,1.107,0.92629,0.33333,0.28223,0.2136,1.56467,3.38084,0.97385,0.000362955,0.000362955,0.000362955
30,238.702,1.05546,1.45001,1.05434,0.92664,0.33333,0.31628,0.21928,1.64726,3.32485,1.009,0.000358996,0.000358996,0.000358996
31,246.939,1.34245,1.55591,1.18515,0.92664,0.33333,0.31628,0.21928,1.64726,3.32485,1.009,0.000353906,0.000353906,0.000353906
32,256.783,1.3429,1.56661,1.14442,0.92764,0.33333,0.33093,0.27219,1.60349,3.25291,0.97184,0.000347684,0.000347684,0.000347684
33,265.298,1.19448,1.47195,1.10239,0.92901,0.33333,0.36291,0.31058,1.58676,3.12001,0.95584,0.000340331,0.000340331,0.000340331
34,273.196,1.26415,1.50876,1.12199,0.92901,0.33333,0.36291,0.31058,1.58676,3.12001,0.95584,0.000331845,0.000331845,0.000331845
35,281.144,1.04222,1.38479,1.05981,0.9294,0.33333,0.35563,0.31412,1.49187,3.02304,0.92882,0.000322228,0.000322228,0.000322228
36,289.225,0.9415,1.31117,0.98701,0.92853,0.33333,0.37477,0.33409,1.32851,2.94692,0.89701,0.000311479,0.000311479,0.000311479
37,297.884,1.06729,1.28277,1.07954,0.92853,0.33333,0.37477,0.33409,1.32851,2.94692,0.89701,0.000299598,0.000299598,0.000299598
38,306.158,1.11655,1.4252,1.14277,0.92803,0.33333,0.37193,0.34213,1.2729,2.92867,0.88313,0.000286586,0.000286586,0.000286586
39,314.169,1.02349,1.31221,1.04105,0.92817,0.33333,0.36481,0.32736,1.27543,2.90565,0.88269,0.000272442,0.000272442,0.000272442
40,322.096,0.98403,1.18878,1.05249,0.92817,0.33333,0.36481,0.32736,1.27543,2.90565,0.88269,0.000257166,0.000257166,0.000257166
41,329.908,0.91211,1.34934,0.94345,0.95754,0.33333,0.38025,0.33007,1.29944,2.85395,0.89691,0.000240758,0.000240758,0.000240758
42,337.794,0.88723,1.37543,0.9579,0.98538,0.33333,0.38481,0.32155,1.31982,2.79348,0.90196,0.000223218,0.000223218,0.000223218
43,345.49,0.85474,1.21661,0.91889,0.98538,0.33333,0.38481,0.32155,1.31982,2.79348,0.90196,0.000204547,0.000204547,0.000204547
44,353.317,0.84594,1.23762,0.94494,1,0.33325,0.40561,0.33564,1.34342,2.67523,0.9064,0.000184744,0.000184744,0.000184744
45,361.856,0.8137,1.22413,0.94788,1,0.33325,0.40561,0.33564,1.34342,2.67523,0.9064,0.000163809,0.000163809,0.000163809
46,370.036,0.94011,1.1966,0.89333,1,0.32842,0.42423,0.34541,1.35837,2.54627,0.9099,0.000141743,0.000141743,0.000141743
47,377.748,0.88961,1.18543,0.92322,1,0.32842,0.42423,0.34541,1.35837,2.54627,0.9099,0.000118544,0.000118544,0.000118544
48,385.436,0.95303,1.25238,0.95111,0.99312,0.33333,0.44045,0.35537,1.36536,2.42316,0.91244,9.4214e-05,9.4214e-05,9.4214e-05
49,393.22,0.93433,1.23706,0.93934,0.99312,0.33333,0.44045,0.35537,1.36536,2.42316,0.91244,6.8752e-05,6.8752e-05,6.8752e-05
50,401.552,0.841,1.12601,0.94385,0.98794,0.33333,0.44918,0.35985,1.3647,2.33043,0.913,4.21584e-05,4.21584e-05,4.21584e-05
