epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4627,1.47264,3.74837,1.34851,0.00282,0.33333,0.06031,0.0408,1.92804,4.46807,1.40884,1.429e-05,1.429e-05,1.429e-05
2,23.4288,1.70325,3.72948,1.69588,0.00289,0.33333,0.0571,0.04422,1.8726,4.33631,1.28709,4.20212e-05,4.20212e-05,4.20212e-05
3,33.8035,1.60981,3.54611,1.66871,0.00348,0.33333,0.14386,0.10299,1.75831,4.21665,1.19606,6.86206e-05,6.86206e-05,6.86206e-05
4,44.1425,0.99417,3.29584,1.15619,0.00492,0.33333,0.26917,0.18176,1.79672,4.16998,1.16725,9.40882e-05,9.40882e-05,9.40882e-05
5,53.7505,1.14569,3.17637,1.22975,0.00737,0.33333,0.29833,0.17838,1.79945,4.18074,1.17411,0.000118424,0.000118424,0.000118424
6,63.8249,1.17768,2.73287,1.18217,0.00926,0.33333,0.29833,0.18214,1.8534,4.20013,1.16474,0.000141628,0.000141628,0.000141628
7,73.8459,1.3042,2.32848,1.20981,0.00877,0.33333,0.27512,0.17184,1.84911,4.09519,1.16176,0.000163701,0.000163701,0.000163701
8,83.8518,1.20375,2.12066,1.15948,0.00988,0.33333,0.20422,0.14832,1.92823,4.10436,1.16334,0.000184641,0.000184641,0.000184641
9,93.1571,1.00287,1.96564,1.05591,0.01058,0.33333,0.20944,0.131,1.91295,4.15774,1.1352,0.00020445,0.00020445,0.00020445
10,102.909,1.1932,1.8971,1.21882,0.01018,0.33333,0.19253,0.12327,1.90744,4.18419,1.12291,0.000223127,0.000223127,0.000223127
11,112.754,1.1235,2.0324,1.14477,0.00883,0.33333,0.18981,0.10478,1.92856,4.18682,1.13453,0.000240672,0.000240672,0.000240672
12,122.086,1.09803,1.90991,1.12081,0.00705,0.33333,0.18722,0.1061,1.93467,4.19404,1.14356,0.000257086,0.000257086,0.000257086
13,131.5,1.17523,1.82374,1.19986,0.00575,0.33333,0.18609,0.1046,1.94073,4.1963,1.14095,0.000272367,0.000272367,0.000272367
14,142.887,1.03933,1.93601,1.10654,0.004,0.33333,0.19278,0.12428,1.93079,4.12702,1.13798,0.000286517,0.000286517,0.000286517
15,152.852,1.03386,1.64316,1.11505,0.00342,0.33333,0.20515,0.13136,1.88012,4.09076,1.12144,0.000299536,0.000299536,0.000299536
16,163.002,1.02589,1.62019,1.04173,0.00399,0.33333,0.2113,0.13655,1.83223,4.04007,1.10781,0.000311422,0.000311422,0.000311422
17,172.716,1.04712,1.72722,1.0833,0.00483,0.33333,0.2113,0.13532,1.83214,3.99918,1.09927,0.000322177,0.000322177,0.000322177
18,182.413,1.0652,1.65738,1.02595,0.00667,0.33333,0.22403,0.1311,1.81689,4.00629,1.06452,0.0003318,0.0003318,0.0003318
19,192.208,1.09916,1.58814,1.14609,0.00844,0.33333,0.24833,0.17224,1.80031,4.01317,1.04449,0.000340291,0.000340291,0.000340291
20,201.84,1.11066,1.67729,1.17598,0.00959,0.33333,0.24833,0.17731,1.82435,3.97166,1.04731,0.00034765,0.00034765,0.00034765
21,211.704,1.03182,1.53374,1.06706,0.01201,0.33333,0.24833,0.18159,1.83486,4.01228,1.038,0.000353878,0.000353878,0.000353878
22,221.619,1.06563,1.44801,1.05525,0.0114,0.33333,0.22627,0.17191,1.75813,4.00315,1.02168,0.000358973,0.000358973,0.000358973
23,231.459,1.08414,1.49817,1.13351,0.00995,0.33333,0.2269,0.16824,1.69072,3.94983,1.02895,0.000362937,0.000362937,0.000362937
24,241.313,1.04151,1.47646,1.15251,0.01084,0.33333,0.21568,0.16514,1.71117,4.0058,1.06512,0.00036577,0.00036577,0.00036577
25,251.749,1.04458,1.50464,1.07386,0.0114,0.33333,0.23525,0.17973,1.74071,4.01814,1.07351,0.00036747,0.00036747,0.00036747
26,261.857,1.06945,1.39025,1.08974,0.01111,0.33333,0.23702,0.16304,1.69423,3.99735,1.10158,0.000368039,0.000368039,0.000368039
27,272.176,0.94646,1.44339,1.1198,0.01018,0.33333,0.21816,0.15584,1.69938,4.09025,1.12422,0.000367476,0.000367476,0.000367476
28,282.697,0.90788,1.47169,1.04622,0.01018,0.33333,0.21816,0.15584,1.69938,4.09025,1.12422,0.000365781,0.000365781,0.000365781
29,292.847,1.13981,1.455,1.13088,0.00828,0.33333,0.22116,0.15897,1.74197,4.02502,1.14497,0.000362955,0.000362955,0.000362955
30,302.863,1.05881,1.46568,1.10276,0.00721,0.33333,0.22782,0.15379,1.72933,4.03953,1.14449,0.000358996,0.000358996,0.000358996
31,312.463,1.26315,1.63598,1.19416,0.00721,0.33333,0.22782,0.15379,1.72933,4.03953,1.14449,0.000353906,0.000353906,0.000353906
