epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1809,1.90382,4.04943,1.72602,0.00282,0.33333,0.05768,0.04807,1.4196,4.09237,1.02689,1.429e-05,1.429e-05,1.429e-05
2,21.3693,1.64963,3.75249,1.48089,0.00279,0.33333,0.20204,0.17593,1.30205,4.00914,0.96328,4.20212e-05,4.20212e-05,4.20212e-05
3,31.3149,1.42857,3.55547,1.34621,0.0029,0.33333,0.33167,0.2985,1.24893,4.00549,0.93503,6.86206e-05,6.86206e-05,6.86206e-05
4,41.0786,1.24009,3.31784,1.18365,0.00357,0.33333,0.33167,0.30262,1.20785,3.95509,0.91734,9.40882e-05,9.40882e-05,9.40882e-05
5,50.6915,1.31279,3.10644,1.31524,0.00474,0.33333,0.315,0.29171,1.23112,3.93597,0.91086,0.000118424,0.000118424,0.000118424
6,61.6453,1.41607,3.01265,1.22547,0.00691,0.33333,0.315,0.29173,1.27563,3.89464,0.9118,0.000141628,0.000141628,0.000141628
7,72.1152,1.20893,2.56701,1.12739,0.0086,0.33333,0.315,0.28767,1.27476,3.84389,0.90037,0.000163701,0.000163701,0.000163701
8,81.6196,1.25723,2.1905,1.15212,0.00866,0.33333,0.315,0.2863,1.29356,3.81065,0.8989,0.000184641,0.000184641,0.000184641
9,91.1628,1.27706,2.03676,1.15441,0.0086,0.33333,0.315,0.2863,1.34998,3.82629,0.90636,0.00020445,0.00020445,0.00020445
10,100.577,1.28682,2.0863,1.1511,0.00877,0.33333,0.33167,0.30267,1.41037,3.8265,0.91717,0.000223127,0.000223127,0.000223127
11,112.027,1.11966,1.84095,1.10473,0.01111,0.33333,0.33167,0.30689,1.41908,3.82828,0.90939,0.000240672,0.000240672,0.000240672
12,121.889,1.07646,1.67793,1.1932,0.01361,0.33333,0.33167,0.27923,1.41343,3.824,0.90318,0.000257086,0.000257086,0.000257086
13,131.275,1.15464,1.7057,1.06005,0.01778,0.33333,0.33167,0.24937,1.40297,3.84457,0.89784,0.000272367,0.000272367,0.000272367
14,140.475,1.05541,1.70982,1.09921,0.02424,0.33333,0.26454,0.20353,1.44509,3.87929,0.91899,0.000286517,0.000286517,0.000286517
15,150.445,1.27355,1.88166,1.13164,0.02899,0.33333,0.20944,0.17157,1.52186,3.88739,0.99108,0.000299536,0.000299536,0.000299536
16,159.77,1.14374,1.62563,1.10834,0.02963,0.33333,0.21647,0.16874,1.57569,3.9516,0.98626,0.000311422,0.000311422,0.000311422
17,169.696,0.91984,1.61861,1.00009,0.02273,0.25,0.21795,0.17302,1.70165,3.97737,1.0185,0.000322177,0.000322177,0.000322177
18,181.667,1.0584,1.50912,1.09496,0.02439,0.25,0.21817,0.13798,1.86963,4.02704,1.06934,0.0003318,0.0003318,0.0003318
19,192.259,1.06481,1.66849,1.06537,0.02273,0.25,0.25129,0.15564,1.92396,4.00766,1.09925,0.000340291,0.000340291,0.000340291
