epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.067,1.31109,3.69558,1.30951,0.00285,0.33333,0.03134,0.01063,2.0509,4.22899,1.2753,1.429e-05,1.429e-05,1.429e-05
2,18.5041,1.46121,3.68562,1.53255,0.00286,0.33333,0.10917,0.04723,2.02352,4.19106,1.25338,4.20212e-05,4.20212e-05,4.20212e-05
3,26.2889,1.49346,3.45704,1.55366,0.00309,0.33333,0.24833,0.15702,1.97866,4.12199,1.21131,6.86206e-05,6.86206e-05,6.86206e-05
4,34.0354,0.95314,3.14563,1.1195,0.0037,0.33333,0.33167,0.24171,1.90714,4.07959,1.1412,9.40882e-05,9.40882e-05,9.40882e-05
5,41.8986,1.30193,3.09525,1.38147,0.0048,0.33333,0.28167,0.19888,1.78381,4.03788,1.07244,0.000118424,0.000118424,0.000118424
6,49.5661,1.43773,2.67481,1.38047,0.00813,0.33333,0.28167,0.17975,1.66886,3.991,1.0417,0.000141628,0.000141628,0.000141628
7,57.3674,1.23193,2.27265,1.20809,0.00913,0.33333,0.28167,0.20124,1.62752,3.88775,1.00385,0.000163701,0.000163701,0.000163701
8,65.0959,1.25413,2.15752,1.21169,0.0098,0.33333,0.28167,0.23178,1.54963,3.79562,0.96309,0.000184641,0.000184641,0.000184641
9,72.8599,1.15579,2.07752,1.14343,0.01235,0.33333,0.28167,0.23136,1.51728,3.78429,0.95522,0.00020445,0.00020445,0.00020445
10,80.9324,1.23089,1.93399,1.30399,0.01294,0.33333,0.28167,0.23875,1.5289,3.74151,0.96045,0.000223127,0.000223127,0.000223127
11,88.7864,1.20304,2.07525,1.17168,0.01434,0.33333,0.28167,0.24614,1.60654,3.7292,0.97197,0.000240672,0.000240672,0.000240672
12,97.0919,1.18979,1.86381,1.16891,0.02667,0.33333,0.28167,0.2394,1.61856,3.68426,0.97113,0.000257086,0.000257086,0.000257086
13,108.502,1.38265,1.82762,1.32798,0.07843,0.33333,0.28167,0.24006,1.60021,3.66364,0.95751,0.000272367,0.000272367,0.000272367
14,116.359,1.11758,1.95701,1.22346,0.0789,0.34314,0.28191,0.24008,1.60036,3.66271,0.95839,0.000286517,0.000286517,0.000286517
15,124.121,1.17518,1.72837,1.12788,0.08333,0.33333,0.29833,0.25623,1.5591,3.65882,0.95118,0.000299536,0.000299536,0.000299536
16,131.908,1.08227,1.75198,1.0973,0.05797,0.33333,0.29833,0.2685,1.50195,3.66279,0.932,0.000311422,0.000311422,0.000311422
17,140.329,1.22999,1.84638,1.13665,0.05128,0.33333,0.29833,0.2685,1.49154,3.66541,0.92759,0.000322177,0.000322177,0.000322177
18,148.098,1.13041,1.66298,1.08023,0.04444,0.33333,0.29833,0.27301,1.52813,3.68186,0.93416,0.0003318,0.0003318,0.0003318
19,155.865,1.06969,1.57723,1.08992,0.04762,0.33333,0.29833,0.2685,1.56526,3.66564,0.94549,0.000340291,0.000340291,0.000340291
20,164.628,1.18168,1.78641,1.18624,0.03252,0.33333,0.29833,0.26173,1.58353,3.61732,0.95243,0.00034765,0.00034765,0.00034765
21,172.338,1.08649,1.61545,1.02577,0.8963,0.33333,0.28167,0.2535,1.58142,3.60041,0.95619,0.000353878,0.000353878,0.000353878
22,180.026,0.99263,1.30775,0.98367,0.92885,0.31091,0.29833,0.2685,1.57169,3.58766,0.95341,0.000358973,0.000358973,0.000358973
23,187.723,1.06674,1.35022,1.10693,0.9245,0.28917,0.29833,0.2685,1.55904,3.5703,0.97378,0.000362937,0.000362937,0.000362937
24,197.057,1.07843,1.41447,1.14897,0.92888,0.31105,0.29833,0.2685,1.54749,3.55195,0.98572,0.00036577,0.00036577,0.00036577
25,206.088,1.12901,1.47606,1.13174,0.92235,0.33333,0.315,0.26856,1.60015,3.51704,1.00205,0.00036747,0.00036747,0.00036747
26,214.493,1.20601,1.44486,1.16101,0.92282,0.33333,0.33196,0.26542,1.74739,3.57448,1.04354,0.000368039,0.000368039,0.000368039
27,222.067,1.06056,1.41569,1.15687,0.91297,0.33333,0.315,0.26855,1.79097,3.57779,1.05176,0.000367476,0.000367476,0.000367476
28,231.629,0.94414,1.52204,1.04494,0.91297,0.33333,0.315,0.26855,1.79097,3.57779,1.05176,0.000365781,0.000365781,0.000365781
29,239.687,1.15949,1.36394,1.12318,0.9167,0.33333,0.315,0.24615,1.85297,3.64149,1.07961,0.000362955,0.000362955,0.000362955
30,247.469,1.07385,1.42017,1.07592,0.92201,0.33333,0.29833,0.25522,1.78136,3.63418,1.06216,0.000358996,0.000358996,0.000358996
31,255.287,1.36537,1.6036,1.27481,0.92201,0.33333,0.29833,0.25522,1.78136,3.63418,1.06216,0.000353906,0.000353906,0.000353906
32,264.067,1.16111,1.46732,1.08598,0.92727,0.33333,0.28167,0.24604,1.71347,3.53169,1.04863,0.000347684,0.000347684,0.000347684
33,272.584,1.22597,1.4265,1.17683,0.92148,0.33333,0.2717,0.24243,1.66567,3.3953,1.03732,0.000340331,0.000340331,0.000340331
34,280.444,1.18437,1.41445,1.09439,0.92148,0.33333,0.2717,0.24243,1.66567,3.3953,1.03732,0.000331845,0.000331845,0.000331845
35,288.456,1.05503,1.31852,1.12063,0.91452,0.33333,0.3544,0.28501,1.64124,3.26662,1.03941,0.000322228,0.000322228,0.000322228
36,296.339,0.96787,1.30326,1.04363,0.92035,0.33333,0.3471,0.28389,1.6476,3.16233,1.03795,0.000311479,0.000311479,0.000311479
37,304.028,1.15184,1.36387,1.05118,0.92035,0.33333,0.3471,0.28389,1.6476,3.16233,1.03795,0.000299598,0.000299598,0.000299598
38,311.732,1.11855,1.48473,1.12495,0.92565,0.33333,0.3392,0.28565,1.58004,3.07133,1.01979,0.000286586,0.000286586,0.000286586
39,320.044,1.07224,1.31949,1.06707,0.92973,0.33333,0.3067,0.26702,1.54487,3.0541,1.00386,0.000272442,0.000272442,0.000272442
40,328.211,1.0238,1.2357,1.06465,0.92973,0.33333,0.3067,0.26702,1.54487,3.0541,1.00386,0.000257166,0.000257166,0.000257166
41,335.926,0.92847,1.30688,0.95346,0.88522,0.33333,0.29441,0.25412,1.55097,3.06914,1.00042,0.000240758,0.000240758,0.000240758
42,343.582,0.86521,1.25364,0.94178,0.88727,0.33333,0.28953,0.25489,1.53871,3.06648,0.99622,0.000223218,0.000223218,0.000223218
43,351.126,0.89902,1.21004,0.9306,0.88727,0.33333,0.28953,0.25489,1.53871,3.06648,0.99622,0.000204547,0.000204547,0.000204547
44,359.033,0.8481,1.27939,0.94487,0.88361,0.33333,0.30034,0.25607,1.54552,3.01736,0.98949,0.000184744,0.000184744,0.000184744
45,367.029,0.93148,1.34125,1.01129,0.88361,0.33333,0.30034,0.25607,1.54552,3.01736,0.98949,0.000163809,0.000163809,0.000163809
46,374.725,0.89824,1.22523,0.88558,0.88155,0.33333,0.29966,0.25717,1.5811,2.97973,0.99025,0.000141743,0.000141743,0.000141743
47,382.825,0.87505,1.15468,0.92105,0.88155,0.33333,0.29966,0.25717,1.5811,2.97973,0.99025,0.000118544,0.000118544,0.000118544
48,390.584,0.98638,1.2799,0.96317,0.931,0.32169,0.32442,0.27764,1.60346,2.92065,0.98891,9.4214e-05,9.4214e-05,9.4214e-05
49,398.091,0.91617,1.24886,0.93318,0.931,0.32169,0.32442,0.27764,1.60346,2.92065,0.98891,6.8752e-05,6.8752e-05,6.8752e-05
50,405.844,0.88832,1.18889,0.9516,0.93203,0.32683,0.33734,0.28377,1.61908,2.87149,0.98757,4.21584e-05,4.21584e-05,4.21584e-05
