epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39815,1.78221,4.05348,1.59691,0.00214,0.33333,0.01556,0.00696,1.38109,3.95428,1.13399,2.858e-05,2.858e-05,2.858e-05
2,7.64993,1.50515,4.13063,1.41498,0.00146,0.22222,0.0049,0.00416,1.36926,3.9541,1.11165,7.13085e-05,7.13085e-05,7.13085e-05
3,7.93955,1.51996,4.04357,1.32225,0.00216,0.33333,0.1369,0.12073,1.32386,3.8611,1.02662,0.000113867,0.000113867,0.000113867
4,8.26379,1.21474,3.6443,1.18998,0.00203,0.33333,0.27667,0.249,1.27893,3.73594,0.95331,0.000156256,0.000156256,0.000156256
5,8.57367,0.9668,3.41783,0.99216,0.00223,0.33333,0.27667,0.249,1.23186,3.6852,0.93302,0.000198476,0.000198476,0.000198476
6,8.87216,1.13195,3.05065,1.05723,0.00223,0.33333,0.27667,0.249,1.23993,3.66426,0.91699,0.000240525,0.000240525,0.000240525
7,9.17221,0.96774,2.84845,0.97296,0.0019,0.33333,0.27667,0.26019,1.31721,3.63941,0.90976,0.000282405,0.000282405,0.000282405
8,9.45968,1.05056,2.61521,1.01075,0.00384,0.34127,0.2777,0.23286,1.36527,3.6478,0.92188,0.000324115,0.000324115,0.000324115
9,9.76671,1.03731,2.41542,0.95057,0.00356,0.34127,0.27737,0.24014,1.33306,3.59892,0.93888,0.000365655,0.000365655,0.000365655
10,10.0453,1.02327,2.13753,0.9962,0.00371,0.34127,0.27729,0.2438,1.37952,3.58478,0.94383,0.000407025,0.000407025,0.000407025
11,10.3459,1.01658,1.93497,0.96495,0.00292,0.33333,0.24875,0.19918,1.48336,3.50478,0.94852,0.000448226,0.000448226,0.000448226
12,10.6274,0.9738,1.96438,0.99163,0.00309,0.33333,0.24875,0.19919,1.52383,3.48981,0.9406,0.000489257,0.000489257,0.000489257
13,10.9333,1.06824,1.95372,0.99026,0.00286,0.33333,0.24875,0.21012,1.60204,3.40091,0.96289,0.000530118,0.000530118,0.000530118
14,11.2119,1.04341,1.7126,0.93727,0.00264,0.33333,0.24875,0.19635,1.52308,3.39206,0.96883,0.000570809,0.000570809,0.000570809
15,11.5019,0.96885,1.63949,0.93459,0.75203,0.33333,0.27667,0.23986,1.72584,3.30243,0.97684,0.000611331,0.000611331,0.000611331
16,11.7822,0.9876,1.57654,0.93843,0.0024,0.33333,0.33167,0.28014,1.64301,3.28012,0.96404,0.000651683,0.000651683,0.000651683
17,12.0805,1.00646,1.60816,0.92815,0.91457,0.33333,0.25081,0.21546,1.53588,3.16156,0.96352,0.000691865,0.000691865,0.000691865
18,12.3603,0.9556,1.53214,0.97697,0.91152,0.33333,0.28541,0.23318,1.54142,3.03241,0.98753,0.000731877,0.000731877,0.000731877
19,12.6352,0.95164,1.53428,0.89792,0.90953,0.33333,0.28536,0.21927,1.64048,3.01457,1.00351,0.000771719,0.000771719,0.000771719
20,12.9127,0.82945,1.42946,0.89061,0.90576,0.33333,0.28635,0.23923,1.71822,2.88291,1.0004,0.000811392,0.000811392,0.000811392
21,13.1976,0.93593,1.47248,0.96085,0.90697,0.33333,0.28574,0.25535,1.71919,2.89845,0.97229,0.000850895,0.000850895,0.000850895
22,13.4828,0.90171,1.34764,0.91649,0.90457,0.33333,0.28567,0.25444,1.64765,2.91742,0.96616,0.000890228,0.000890228,0.000890228
23,13.7637,0.95744,1.36172,0.94531,0.90928,0.30378,0.28597,0.24659,1.59039,2.95759,0.96084,0.000929392,0.000929392,0.000929392
24,14.0442,0.9679,1.29801,0.9277,0.91065,0.30929,0.30356,0.27131,1.5748,2.93805,0.95085,0.000968386,0.000968386,0.000968386
25,14.3251,0.92543,1.29374,0.93488,0.91008,0.307,0.30556,0.24297,1.70589,2.88718,0.98265,0.00100721,0.00100721,0.00100721
26,14.616,1.02293,1.26254,0.94364,0.91664,0.33324,0.32522,0.2534,1.66298,2.83447,1.00255,0.00104586,0.00104586,0.00104586
27,14.8941,0.9517,1.29793,0.91594,0.91002,0.30674,0.30619,0.25828,1.60795,2.8986,0.98424,0.00108435,0.00108435,0.00108435
28,15.1745,0.93988,1.24135,0.91385,0.91539,0.32821,0.39299,0.31412,1.49699,2.83537,0.96721,0.00112266,0.00112266,0.00112266
29,15.4528,0.98958,1.25127,0.92805,0.91539,0.32821,0.39299,0.31412,1.49699,2.83537,0.96721,0.00116081,0.00116081,0.00116081
30,15.7397,1.05469,1.2366,0.95879,0.91376,0.33333,0.49274,0.32631,1.58799,2.63342,0.9977,0.00119878,0.00119878,0.00119878
31,16.0247,1.04295,1.17276,0.92414,0.91643,0.33333,0.4633,0.27345,1.75717,2.39872,1.05578,0.00123659,0.00123659,0.00123659
32,16.3081,1.02972,1.19098,0.93734,0.83475,0.34985,0.45862,0.31481,1.67212,2.23589,1.03079,0.00127422,0.00127422,0.00127422
33,16.5734,0.94745,1.1987,0.9283,0.83475,0.34985,0.45862,0.31481,1.67212,2.23589,1.03079,0.00131169,0.00131169,0.00131169
34,16.8558,1.01596,1.18593,0.93945,0.83602,0.34873,0.43999,0.30023,1.61985,2.30323,1.01245,0.00133563,0.00133563,0.00133563
35,17.1447,1.08543,1.23017,0.94912,0.82303,0.34127,0.61837,0.38793,1.60077,2.35423,1.0054,0.0013328,0.0013328,0.0013328
36,17.4367,0.92986,1.15981,0.973,0.83628,0.34846,0.60312,0.40536,1.57732,2.2661,0.99986,0.00132997,0.00132997,0.00132997
37,17.7181,0.97688,1.24509,0.98329,0.83628,0.34846,0.60312,0.40536,1.57732,2.2661,0.99986,0.00132714,0.00132714,0.00132714
38,18.0149,0.93388,1.03437,0.90506,0.9129,0.33333,0.54055,0.37374,1.56509,2.14556,0.99661,0.00132431,0.00132431,0.00132431
39,18.3062,0.97538,1.10694,0.92835,0.91285,0.33333,0.50092,0.37023,1.64595,1.98831,1.02426,0.00132148,0.00132148,0.00132148
40,18.5938,1.00349,0.97949,0.91767,0.9162,0.33333,0.52095,0.37475,1.65499,1.9495,1.02405,0.00131865,0.00131865,0.00131865
41,18.8666,1.04746,1.11023,0.96886,0.9162,0.33333,0.52095,0.37475,1.65499,1.9495,1.02405,0.00131582,0.00131582,0.00131582
42,19.1553,0.9672,1.11561,0.93651,0.91455,0.33333,0.53275,0.41236,1.5475,1.93544,0.9887,0.00131299,0.00131299,0.00131299
43,19.4498,0.95045,1.09001,0.91496,0.91907,0.33333,0.5808,0.43352,1.59067,1.88914,0.98705,0.00131016,0.00131016,0.00131016
44,19.7428,0.91268,1.0499,0.93043,0.95539,0.33333,0.61021,0.47992,1.50076,1.87858,0.97119,0.00130733,0.00130733,0.00130733
45,20.0255,0.849,1.00399,0.89697,0.95539,0.33333,0.61021,0.47992,1.50076,1.87858,0.97119,0.00130451,0.00130451,0.00130451
46,20.3208,0.9264,1.0538,0.93697,0.51842,0.54148,0.68542,0.47597,1.57683,1.68159,0.98918,0.00130168,0.00130168,0.00130168
47,20.6102,0.87692,0.94401,0.91777,0.63141,0.72303,0.7197,0.48449,1.61782,1.41252,0.9886,0.00129885,0.00129885,0.00129885
48,20.9046,0.88373,1.0388,0.9301,0.65971,0.71825,0.76296,0.50891,1.57506,1.26142,0.97337,0.00129602,0.00129602,0.00129602
49,21.1844,0.91422,1.00091,0.91557,0.65971,0.71825,0.76296,0.50891,1.57506,1.26142,0.97337,0.00129319,0.00129319,0.00129319
50,21.4806,0.93979,1.0352,0.91453,0.6689,0.71598,0.74413,0.49536,1.34863,1.23707,0.92133,0.00129036,0.00129036,0.00129036
51,21.7678,0.90387,0.97622,0.91674,0.67233,0.71802,0.72768,0.49402,1.26809,1.18824,0.89811,0.00128753,0.00128753,0.00128753
52,22.0609,0.86263,0.96635,0.92802,0.65789,0.72619,0.68955,0.47239,1.27128,1.18399,0.90373,0.0012847,0.0012847,0.0012847
53,22.3332,0.92784,1.00066,0.92729,0.65789,0.72619,0.68955,0.47239,1.27128,1.18399,0.90373,0.00128187,0.00128187,0.00128187
54,22.62,0.8768,0.863,0.9005,0.6883,0.69436,0.64992,0.44558,1.26928,1.10434,0.91208,0.00127904,0.00127904,0.00127904
55,22.9103,0.91741,0.90334,0.90749,0.64018,0.64399,0.59174,0.45161,1.22841,1.06786,0.89443,0.00127621,0.00127621,0.00127621
56,23.1985,0.98262,0.97398,0.92107,0.62913,0.56746,0.56586,0.42265,1.30922,1.03738,0.90224,0.00127338,0.00127338,0.00127338
57,23.4824,0.93063,0.89528,0.91227,0.62913,0.56746,0.56586,0.42265,1.30922,1.03738,0.90224,0.00127055,0.00127055,0.00127055
58,23.7769,0.94085,0.98025,0.93581,0.7149,0.55952,0.61882,0.46142,1.30184,1.01518,0.90448,0.00126772,0.00126772,0.00126772
59,24.0651,0.85599,0.86417,0.89718,0.64745,0.57309,0.5943,0.46664,1.28039,1.08346,0.90189,0.00126489,0.00126489,0.00126489
60,24.3589,0.85229,0.81065,0.83304,0.54472,0.55891,0.48447,0.37628,1.34344,1.22827,0.91486,0.00126206,0.00126206,0.00126206
61,24.6304,0.87045,0.88041,0.85722,0.54472,0.55891,0.48447,0.37628,1.34344,1.22827,0.91486,0.00125923,0.00125923,0.00125923
62,24.9218,0.80006,0.8368,0.8929,0.6083,0.54144,0.53066,0.38918,1.34095,1.18251,0.92324,0.00125641,0.00125641,0.00125641
63,25.2133,0.89248,0.90861,0.90014,0.77093,0.53682,0.55641,0.38099,1.25851,1.07923,0.90251,0.00125358,0.00125358,0.00125358
64,25.4974,0.87471,0.84601,0.92825,0.70268,0.63422,0.63168,0.428,1.32798,1.04446,0.91782,0.00125075,0.00125075,0.00125075
65,25.7706,0.86969,0.79973,0.93462,0.70268,0.63422,0.63168,0.428,1.32798,1.04446,0.91782,0.00124792,0.00124792,0.00124792
66,26.0601,0.77256,0.8234,0.89124,0.74218,0.65076,0.62304,0.4213,1.27773,1.04315,0.93126,0.00124509,0.00124509,0.00124509
67,26.3469,0.8699,0.8431,0.89532,0.75249,0.64857,0.65413,0.46606,1.21622,0.98221,0.91526,0.00124226,0.00124226,0.00124226
68,26.6371,0.81819,0.7912,0.85899,0.72787,0.64493,0.65684,0.4551,1.27931,1.02404,0.91633,0.00123943,0.00123943,0.00123943
