epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39053,1.37543,4.75342,1.41437,0.5,0.23529,0.22169,0.09464,2.15493,30.409,2.19822,0.000468121,0.000468121,0.000468121
2,10.5019,1.99044,6.91564,1.83855,0.45511,0.28191,0.2201,0.09319,1.98879,10.9665,1.93155,0.000942584,0.000942584,0.000942584
3,13.818,1.89802,7.36553,1.73979,0.42061,0.19608,0.13608,0.06726,1.8839,8.99461,1.68827,0.00141516,0.00141516,0.00141516
4,16.9931,1.95718,7.02273,1.77152,0.45193,0.19608,0.13921,0.06553,1.83395,7.68886,1.66131,0.00142051,0.00142051,0.00142051
5,20.244,2.92307,7.40503,2.55176,0,0,0,0,nan,nan,nan,0.00141768,0.00141768,0.00141768
6,23.415,3.40514,5.86322,3.36014,0,0,0,0,nan,nan,nan,0.00141485,0.00141485,0.00141485
7,26.6068,3.19171,5.69064,3.1322,0,0,0,0,nan,nan,nan,0.00141202,0.00141202,0.00141202
8,29.882,3.48792,7.38984,3.1344,0,0,0,0,nan,nan,nan,0.00140919,0.00140919,0.00140919
9,33.0756,3.40733,4.49043,3.15695,0,0,0,0,nan,nan,nan,0.00140636,0.00140636,0.00140636
10,36.3654,3.10458,4.87891,2.7174,0,0,0,0,nan,nan,nan,0.00140354,0.00140354,0.00140354
11,39.4584,3.31526,4.32063,2.91089,0,0,0,0,nan,nan,nan,0.00140071,0.00140071,0.00140071
12,42.6072,3.04892,4.15077,2.9327,0,0,0,0,nan,nan,nan,0.00139788,0.00139788,0.00139788
13,45.8645,2.94358,3.99861,2.87787,0,0,0,0,nan,nan,nan,0.00139505,0.00139505,0.00139505
14,49.044,2.76641,3.66457,2.74951,0,0,0,0,nan,nan,nan,0.00139222,0.00139222,0.00139222
15,52.3494,2.96282,3.84226,2.8813,0,0,0,0,nan,nan,nan,0.00138939,0.00138939,0.00138939
16,55.4817,2.91252,3.686,2.67718,0,0,0,0,4.03835,17.2291,8.10644,0.00138656,0.00138656,0.00138656
17,58.7504,2.70114,3.63194,2.5501,0,0,0,0,4.26744,383.721,5.21913,0.00138373,0.00138373,0.00138373
18,61.9379,2.67654,3.55883,2.61429,0,0,0,0,3.75219,71.4724,19.2849,0.0013809,0.0013809,0.0013809
19,65.1216,2.4846,3.4646,2.52327,0.00418,0.23249,0.05602,0.02622,2.85434,4.13677,4.21389,0.00137807,0.00137807,0.00137807
20,68.363,2.56961,3.31484,2.578,0.07799,0.01961,0.015,0.00529,2.83217,4.45943,4.02104,0.00137524,0.00137524,0.00137524
21,71.5311,2.72549,3.25027,2.45646,0.07997,0.28852,0.10943,0.03559,2.43068,3.47761,2.39354,0.00137241,0.00137241,0.00137241
22,74.8045,2.69598,3.27118,2.56864,0.07997,0.28852,0.10943,0.03559,2.43068,3.47761,2.39354,0.00136958,0.00136958,0.00136958
23,77.9496,2.51035,3.08669,2.46542,0.22056,0.2605,0.17834,0.07491,2.38387,2.56609,2.34502,0.00136675,0.00136675,0.00136675
24,81.1458,2.62879,3.07876,2.57971,0.26855,0.32773,0.29652,0.09851,2.28684,2.46702,2.37608,0.00136392,0.00136392,0.00136392
25,84.4379,2.49804,3.04964,2.46132,0.20843,0.33053,0.21221,0.07963,2.28804,3.41327,2.4596,0.00136109,0.00136109,0.00136109
26,87.6019,2.4473,2.9657,2.35806,0.49678,0.21569,0.23115,0.08929,2.13596,3.13616,2.42741,0.00135826,0.00135826,0.00135826
27,90.8865,2.46184,2.77806,2.36121,0.26482,0.29132,0.26613,0.10077,2.18889,2.31346,2.29565,0.00135544,0.00135544,0.00135544
28,94.1422,2.57263,2.98516,2.41858,0.3291,0.2605,0.23138,0.10825,2.15595,2.38294,2.18923,0.00135261,0.00135261,0.00135261
29,97.4627,2.42547,2.91935,2.4559,0.24091,0.47687,0.25107,0.10046,2.44505,2.79445,2.4519,0.00134978,0.00134978,0.00134978
30,100.602,2.48878,2.72004,2.39414,0.55638,0.4269,0.23854,0.07598,2.36742,3.11402,2.40542,0.00134695,0.00134695,0.00134695
31,103.747,2.57452,3.02148,2.33568,0.52807,0.34887,0.36078,0.14544,2.17352,2.28522,2.02701,0.00134412,0.00134412,0.00134412
32,107.052,2.70856,2.86208,2.39912,0.59233,0.40978,0.35489,0.14197,2.10956,1.97733,2.00821,0.00134129,0.00134129,0.00134129
33,110.172,2.48025,2.76361,2.20357,0.59233,0.40978,0.35489,0.14197,2.10956,1.97733,2.00821,0.00133846,0.00133846,0.00133846
34,113.413,2.50401,2.68851,2.35495,0.30676,0.39233,0.35729,0.15416,2.03856,2.05553,2.05473,0.00133563,0.00133563,0.00133563
35,116.696,2.34954,2.6256,2.21866,0.41779,0.40616,0.41829,0.18519,1.91173,1.95031,1.92095,0.0013328,0.0013328,0.0013328
36,119.988,2.43374,2.74894,2.16369,0.73408,0.45378,0.43193,0.20865,1.97722,1.86581,1.97869,0.00132997,0.00132997,0.00132997
37,123.316,2.31603,2.58575,2.21964,0.72928,0.39443,0.41369,0.19128,1.89275,1.77159,1.95497,0.00132714,0.00132714,0.00132714
38,126.524,2.37157,2.52132,2.234,0.6191,0.40616,0.36202,0.16384,2.18003,1.8207,2.21399,0.00132431,0.00132431,0.00132431
39,129.818,2.30139,2.47131,2.21032,0.61493,0.40616,0.36515,0.16445,2.08776,1.87986,2.18817,0.00132148,0.00132148,0.00132148
40,133.032,2.19322,2.53123,2.12271,0.71626,0.29577,0.37549,0.18372,2.11949,1.96804,2.2564,0.00131865,0.00131865,0.00131865
41,136.354,2.2613,2.42144,2.20287,0.67525,0.51801,0.39239,0.15751,2.26353,1.7237,2.35427,0.00131582,0.00131582,0.00131582
42,139.552,2.41962,2.42432,2.18422,0.76624,0.51538,0.4111,0.17835,2.16313,1.74608,2.07134,0.00131299,0.00131299,0.00131299
43,142.964,2.3233,2.50494,2.26155,0.76624,0.51538,0.4111,0.17835,2.16313,1.74608,2.07134,0.00131016,0.00131016,0.00131016
44,146.261,2.36289,2.57994,2.24658,0.7363,0.53765,0.40768,0.19963,2.16976,1.84941,2.11811,0.00130733,0.00130733,0.00130733
45,149.452,2.30739,2.42527,2.18459,0.76994,0.53252,0.42685,0.224,1.89353,2.22868,1.90335,0.00130451,0.00130451,0.00130451
46,152.742,2.22532,2.36366,2.10916,0.7573,0.49543,0.41525,0.20219,1.96702,1.95679,1.86281,0.00130168,0.00130168,0.00130168
47,155.896,2.31817,2.38264,2.13269,0.72713,0.54902,0.51484,0.1919,2.04374,1.82016,1.93274,0.00129885,0.00129885,0.00129885
48,159.064,2.34811,2.58898,2.22871,0.73952,0.43417,0.45247,0.20208,1.93175,1.98638,1.85709,0.00129602,0.00129602,0.00129602
49,162.425,2.35282,2.51028,2.28766,0.68242,0.55078,0.48525,0.19374,1.98679,1.94445,1.83682,0.00129319,0.00129319,0.00129319
50,165.683,2.22529,2.43647,2.14063,0.74047,0.48512,0.39533,0.2186,1.95429,2.11934,1.81318,0.00129036,0.00129036,0.00129036
51,168.933,2.08746,2.35354,2.01064,0.70652,0.45377,0.32688,0.14014,2.12499,2.03143,1.85254,0.00128753,0.00128753,0.00128753
52,172.149,2.26379,2.59343,2.18143,0.73169,0.45074,0.42218,0.18516,1.96228,1.88625,1.75194,0.0012847,0.0012847,0.0012847
53,175.453,2.31019,2.34664,2.14586,0.80729,0.2605,0.40951,0.23271,2.03871,2.15728,1.94441,0.00128187,0.00128187,0.00128187
54,178.653,2.17156,2.34352,2.10399,0.80729,0.2605,0.40951,0.23271,2.03871,2.15728,1.94441,0.00127904,0.00127904,0.00127904
55,181.943,2.3696,2.40036,2.09279,0.84443,0.18207,0.27503,0.11962,2.33943,2.34921,2.32566,0.00127621,0.00127621,0.00127621
56,185.584,2.30551,2.28471,2.14191,0.77025,0.43137,0.44521,0.22127,1.99917,1.54196,2.06056,0.00127338,0.00127338,0.00127338
57,189.342,2.31332,2.36012,2.17353,0.93463,0.4079,0.50653,0.30843,1.94302,2.10614,1.87006,0.00127055,0.00127055,0.00127055
58,193.549,2.13963,2.25058,2.1302,0.57608,0.6377,0.56936,0.31589,1.95863,1.79136,1.81283,0.00126772,0.00126772,0.00126772
59,197.452,2.26706,2.17587,2.0656,0.75608,0.47339,0.50594,0.23073,1.91185,1.63502,1.97361,0.00126489,0.00126489,0.00126489
60,201.236,2.16036,2.08826,2.13309,0.9201,0.44888,0.52158,0.2249,1.91822,1.65458,2.01432,0.00126206,0.00126206,0.00126206
61,205.052,2.13357,2.03475,2.04621,0.81956,0.36695,0.47266,0.22744,1.97347,1.76604,1.99077,0.00125923,0.00125923,0.00125923
62,208.695,2.32163,2.26451,2.15522,0.68474,0.6797,0.70713,0.29847,2.13946,2.00679,2.10883,0.00125641,0.00125641,0.00125641
63,211.892,2.16914,2.16432,2.14183,0.70194,0.51712,0.55125,0.31987,1.91841,2.71663,1.89582,0.00125358,0.00125358,0.00125358
64,215.345,2.04044,2.13142,2.00755,0.40966,0.61569,0.58656,0.33146,1.88026,1.783,1.90217,0.00125075,0.00125075,0.00125075
65,218.665,2.15434,2.13798,2.11321,0.40966,0.61569,0.58656,0.33146,1.88026,1.783,1.90217,0.00124792,0.00124792,0.00124792
66,221.937,2.03501,1.91107,2.02084,0.6788,0.5629,0.63268,0.32294,1.82501,2.37596,2.03391,0.00124509,0.00124509,0.00124509
67,225.082,2.19305,2.06785,2.06647,0.87814,0.5014,0.71132,0.28509,2.07333,1.28289,2.04826,0.00124226,0.00124226,0.00124226
68,228.323,2.0533,1.93789,2.06706,0.84319,0.5014,0.56183,0.2534,2.18046,1.50389,2.22488,0.00123943,0.00123943,0.00123943
69,231.5,2.13552,2.02276,2.15563,0.81704,0.46115,0.61164,0.29979,1.83797,2.11477,1.93019,0.0012366,0.0012366,0.0012366
70,234.758,2.01873,1.84221,1.94894,0.78835,0.55893,0.66935,0.34881,1.59953,1.93837,1.68859,0.00123377,0.00123377,0.00123377
71,238.017,1.99515,1.9106,2.00123,0.94379,0.50569,0.68514,0.34133,1.71675,1.27097,1.76537,0.00123094,0.00123094,0.00123094
72,241.277,2.08706,2.12828,2.02209,0.81331,0.62227,0.6775,0.4018,1.56302,1.29211,1.6322,0.00122811,0.00122811,0.00122811
73,244.507,2.037,2.01582,1.96892,0.71134,0.69163,0.6984,0.34526,1.76391,2.47562,1.95598,0.00122528,0.00122528,0.00122528
74,247.669,2.01395,1.93004,1.97004,0.82168,0.54902,0.60254,0.34549,1.63437,1.58039,1.75855,0.00122245,0.00122245,0.00122245
75,251.201,1.9209,1.8748,1.91632,0.82168,0.54902,0.60254,0.34549,1.63437,1.58039,1.75855,0.00121962,0.00121962,0.00121962
76,254.424,2.08386,2.05558,1.98847,0.95896,0.40196,0.59112,0.28639,1.72879,1.4737,1.70307,0.00121679,0.00121679,0.00121679
77,257.719,2.02083,1.89568,1.94587,0.96081,0.44389,0.6187,0.26587,2.10312,1.52984,1.97471,0.00121396,0.00121396,0.00121396
78,260.951,2.01623,1.76876,1.9368,0.86612,0.52863,0.66002,0.29816,1.85815,1.48782,1.87414,0.00121113,0.00121113,0.00121113
79,264.298,2.04502,1.79055,2.00901,0.75708,0.63262,0.69862,0.32653,1.74262,1.56939,1.76488,0.00120831,0.00120831,0.00120831
80,267.497,1.96184,1.82294,1.87154,0.72132,0.52828,0.63719,0.32881,1.65666,1.58053,1.61241,0.00120548,0.00120548,0.00120548
81,270.668,1.97826,1.79591,1.82998,0.81571,0.46608,0.60791,0.36155,1.56608,1.55119,1.52551,0.00120265,0.00120265,0.00120265
82,273.926,1.94009,1.81215,2.0412,0.56579,0.60728,0.6106,0.35467,1.66422,1.54301,1.64603,0.00119982,0.00119982,0.00119982
83,277.108,1.9207,1.79041,1.85257,0.5648,0.67303,0.73544,0.39128,1.52418,2.23404,1.61178,0.00119699,0.00119699,0.00119699
84,280.4,1.86593,1.63572,1.88257,0.77754,0.56863,0.76489,0.4123,1.53389,1.73424,1.6855,0.00119416,0.00119416,0.00119416
85,283.671,1.88779,1.56345,1.85863,0.67027,0.63529,0.68991,0.38279,1.64336,1.50832,1.64236,0.00119133,0.00119133,0.00119133
86,286.845,1.93021,1.54499,1.994,0.67027,0.63529,0.68991,0.38279,1.64336,1.50832,1.64236,0.0011885,0.0011885,0.0011885
87,290.262,1.91847,1.69006,1.87175,0.85656,0.56863,0.82549,0.42573,1.50627,1.37799,1.56466,0.00118567,0.00118567,0.00118567
88,293.966,1.83637,1.7022,1.89766,0.94208,0.54902,0.7415,0.3255,1.68538,1.47721,1.74864,0.00118284,0.00118284,0.00118284
89,297.262,1.83161,1.55866,1.85249,0.77986,0.55162,0.66541,0.36002,1.76948,1.74034,1.85947,0.00118001,0.00118001,0.00118001
90,300.431,1.90976,1.63249,1.89222,0.65036,0.70996,0.74756,0.41119,1.57618,1.46366,1.59814,0.00117718,0.00117718,0.00117718
91,303.723,1.86397,1.64348,1.95246,0.76619,0.68235,0.81073,0.45202,1.405,1.2183,1.45651,0.00117435,0.00117435,0.00117435
92,307.002,1.80192,1.54959,1.87785,0.80843,0.75989,0.84029,0.39787,1.44445,1.40969,1.5315,0.00117152,0.00117152,0.00117152
93,310.101,1.88019,1.69389,1.96648,0.9432,0.59798,0.79807,0.42456,1.34373,1.88145,1.46064,0.00116869,0.00116869,0.00116869
94,313.277,1.76174,1.54209,1.80082,0.89504,0.55742,0.70717,0.36124,1.52148,2.37068,1.55221,0.00116586,0.00116586,0.00116586
95,316.397,1.772,1.67441,1.76864,0.91937,0.52813,0.73346,0.34444,1.63887,1.4388,1.67944,0.00116303,0.00116303,0.00116303
96,319.615,1.82637,1.62432,1.86943,0.86847,0.56658,0.66292,0.34744,1.68381,1.42817,1.69788,0.00116021,0.00116021,0.00116021
97,322.766,1.93389,1.69848,1.91838,0.86847,0.56658,0.66292,0.34744,1.68381,1.42817,1.69788,0.00115738,0.00115738,0.00115738
98,326.062,1.87066,1.63945,1.83926,0.88378,0.52941,0.74251,0.37477,1.38573,1.49953,1.50852,0.00115455,0.00115455,0.00115455
99,330.216,1.76939,1.6374,1.83031,0.92042,0.58175,0.79309,0.44466,1.35768,1.25618,1.50514,0.00115172,0.00115172,0.00115172
100,334.032,1.71698,1.61303,1.78443,0.8962,0.47218,0.71509,0.46283,1.26739,1.11476,1.43871,0.00114889,0.00114889,0.00114889
101,337.658,1.79794,1.56879,1.75754,0.92862,0.52266,0.73165,0.44766,1.46291,1.08488,1.56926,0.00114606,0.00114606,0.00114606
102,340.817,1.80286,1.57429,1.81483,0.65898,0.82745,0.78322,0.43803,1.45847,1.02786,1.51631,0.00114323,0.00114323,0.00114323
103,344.007,1.76156,1.50943,1.82569,0.68117,0.69168,0.71996,0.37172,1.56119,1.43371,1.71476,0.0011404,0.0011404,0.0011404
104,347.781,1.7408,1.4242,1.80877,0.83535,0.54902,0.65628,0.3481,1.49972,2.75533,1.65155,0.00113757,0.00113757,0.00113757
105,351.717,1.77557,1.52144,1.81255,0.70441,0.78983,0.78713,0.451,1.35596,1.35121,1.48777,0.00113474,0.00113474,0.00113474
106,355.542,1.76849,1.48113,1.8018,0.76665,0.72056,0.78996,0.42485,1.39632,1.44907,1.51492,0.00113191,0.00113191,0.00113191
107,359.591,1.72067,1.55568,1.77193,0.76665,0.72056,0.78996,0.42485,1.39632,1.44907,1.51492,0.00112908,0.00112908,0.00112908
108,363.453,1.76154,1.47202,1.76669,0.95845,0.5014,0.66077,0.41024,1.54817,1.32128,1.56739,0.00112625,0.00112625,0.00112625
109,367.259,1.64986,1.34922,1.72242,0.85622,0.63346,0.75342,0.43803,1.47317,1.10801,1.53078,0.00112342,0.00112342,0.00112342
110,371.138,1.6952,1.32381,1.64212,0.77404,0.71699,0.78947,0.42393,1.58459,1.50843,1.62761,0.00112059,0.00112059,0.00112059
111,374.916,1.75015,1.50601,1.80444,0.64574,0.76078,0.78975,0.39963,1.60507,1.47518,1.61461,0.00111776,0.00111776,0.00111776
112,378.951,1.59299,1.4562,1.69092,0.61178,0.67124,0.7308,0.39285,1.48743,1.62641,1.54479,0.00111493,0.00111493,0.00111493
113,382.798,1.66442,1.34396,1.69444,0.97124,0.60628,0.70879,0.4262,1.41365,1.13741,1.51147,0.0011121,0.0011121,0.0011121
114,386.58,1.59703,1.46548,1.68256,0.94964,0.59502,0.69122,0.41352,1.51018,1.03784,1.61924,0.00110928,0.00110928,0.00110928
115,390.48,1.75475,1.56148,1.78903,0.5611,0.87324,0.76109,0.47268,1.45815,1.06371,1.56218,0.00110645,0.00110645,0.00110645
116,394.613,1.75047,1.46462,1.77525,0.56699,0.82745,0.80254,0.47521,1.32914,1.00181,1.40464,0.00110362,0.00110362,0.00110362
117,398.609,1.66276,1.4527,1.76452,0.97193,0.55701,0.67473,0.35385,1.6183,1.2394,1.60689,0.00110079,0.00110079,0.00110079
118,402.402,1.64923,1.42043,1.66506,0.97193,0.55701,0.67473,0.35385,1.6183,1.2394,1.60689,0.00109796,0.00109796,0.00109796
119,406.752,1.67076,1.46764,1.70052,0.57026,0.65144,0.71075,0.37354,1.52507,1.22642,1.49738,0.00109513,0.00109513,0.00109513
