epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8691,1.90382,4.04943,1.72602,0.00282,0.33333,0.05768,0.04807,1.4196,4.09237,1.02689,1.429e-05,1.429e-05,1.429e-05
2,21.0183,1.64963,3.75249,1.48089,0.00279,0.33333,0.20204,0.17593,1.30205,4.00914,0.96328,4.20212e-05,4.20212e-05,4.20212e-05
3,30.9647,1.42857,3.55547,1.34621,0.0029,0.33333,0.33167,0.2985,1.24893,4.00549,0.93503,6.86206e-05,6.86206e-05,6.86206e-05
4,40.3909,1.24009,3.31784,1.18365,0.00357,0.33333,0.33167,0.30262,1.20785,3.95509,0.91734,9.40882e-05,9.40882e-05,9.40882e-05
5,50.4635,1.31279,3.10644,1.31524,0.00474,0.33333,0.315,0.29171,1.23112,3.93597,0.91086,0.000118424,0.000118424,0.000118424
6,60.606,1.41607,3.01265,1.22547,0.00691,0.33333,0.315,0.29173,1.27563,3.89464,0.9118,0.000141628,0.000141628,0.000141628
7,70.1876,1.20893,2.56701,1.12739,0.0086,0.33333,0.315,0.28767,1.27476,3.84389,0.90037,0.000163701,0.000163701,0.000163701
8,79.8418,1.25723,2.1905,1.15212,0.00866,0.33333,0.315,0.2863,1.29356,3.81065,0.8989,0.000184641,0.000184641,0.000184641
9,89.5907,1.27706,2.03676,1.15441,0.0086,0.33333,0.315,0.2863,1.34998,3.82629,0.90636,0.00020445,0.00020445,0.00020445
10,99.1526,1.28682,2.0863,1.1511,0.00877,0.33333,0.33167,0.30267,1.41037,3.8265,0.91717,0.000223127,0.000223127,0.000223127
11,108.755,1.11966,1.84095,1.10473,0.01111,0.33333,0.33167,0.30689,1.41908,3.82828,0.90939,0.000240672,0.000240672,0.000240672
12,118.284,1.07646,1.67793,1.1932,0.01361,0.33333,0.33167,0.27923,1.41343,3.824,0.90318,0.000257086,0.000257086,0.000257086
13,127.92,1.15464,1.7057,1.06005,0.01778,0.33333,0.33167,0.24937,1.40297,3.84457,0.89784,0.000272367,0.000272367,0.000272367
14,137.777,1.05541,1.70982,1.09921,0.02424,0.33333,0.26454,0.20353,1.44509,3.87929,0.91899,0.000286517,0.000286517,0.000286517
15,147.497,1.27355,1.88166,1.13164,0.02899,0.33333,0.20944,0.17157,1.52186,3.88739,0.99108,0.000299536,0.000299536,0.000299536
16,157.818,1.14374,1.62563,1.10834,0.02963,0.33333,0.21647,0.16874,1.57569,3.9516,0.98626,0.000311422,0.000311422,0.000311422
17,167.685,0.91984,1.61861,1.00009,0.02273,0.25,0.21795,0.17302,1.70165,3.97737,1.0185,0.000322177,0.000322177,0.000322177
18,178.383,1.0584,1.50912,1.09496,0.02439,0.25,0.21817,0.13798,1.86963,4.02704,1.06934,0.0003318,0.0003318,0.0003318
19,191.51,1.06481,1.66849,1.06537,0.02273,0.25,0.25129,0.15564,1.92396,4.00766,1.09925,0.000340291,0.000340291,0.000340291
20,201.908,1.20917,1.57954,1.12939,0.02339,0.33333,0.26115,0.17173,1.9065,3.96919,1.10462,0.00034765,0.00034765,0.00034765
21,212.999,1.07713,1.48503,1.11784,0.01515,0.33333,0.29,0.19915,1.75634,3.82169,1.05645,0.000353878,0.000353878,0.000353878
22,223.667,1.22812,1.55499,1.17385,0.00913,0.33333,0.315,0.22787,1.77969,3.79017,1.0709,0.000358973,0.000358973,0.000358973
23,233.987,1.17998,1.60398,1.12027,0.0067,0.33333,0.315,0.21557,1.74772,3.73603,1.06234,0.000362937,0.000362937,0.000362937
24,244.369,1.20845,1.53157,1.21159,0.85796,0.33333,0.33167,0.24043,1.65173,3.67277,1.02666,0.00036577,0.00036577,0.00036577
25,254.362,1.06629,1.46382,1.13385,1,0.27874,0.33167,0.27774,1.57919,3.61181,0.98402,0.00036747,0.00036747,0.00036747
26,264.325,1.07234,1.41178,1.05257,0.93313,0.25,0.315,0.28174,1.59544,3.56284,0.9794,0.000368039,0.000368039,0.000368039
27,275.159,1.01772,1.46462,1.05782,0.91201,0.33333,0.29833,0.26341,1.60325,3.46726,0.98014,0.000367476,0.000367476,0.000367476
28,284.786,1.00976,1.46543,1.09003,0.91201,0.33333,0.29833,0.26341,1.60325,3.46726,0.98014,0.000365781,0.000365781,0.000365781
29,294.647,0.97364,1.36153,1.04268,0.99199,0.33333,0.33167,0.26522,1.63784,3.41001,0.96771,0.000362955,0.000362955,0.000362955
30,304.702,0.90704,1.3563,1.00402,0.96656,0.33333,0.33167,0.29007,1.74378,3.46016,0.97913,0.000358996,0.000358996,0.000358996
31,314.473,1.09601,1.51246,1.0919,0.96656,0.33333,0.33167,0.29007,1.74378,3.46016,0.97913,0.000353906,0.000353906,0.000353906
32,325.326,1.09833,1.47323,1.08243,0.97711,0.33333,0.33167,0.24861,1.84727,3.51345,1.00483,0.000347684,0.000347684,0.000347684
33,335.443,1.08671,1.30632,1.14697,1,0.32987,0.33167,0.24451,1.81414,3.5013,1.00231,0.000340331,0.000340331,0.000340331
34,345.618,1.01152,1.34787,1.05691,1,0.32987,0.33167,0.24451,1.81414,3.5013,1.00231,0.000331845,0.000331845,0.000331845
35,356.852,1.00564,1.27644,1.06185,0.99878,0.33333,0.33201,0.26548,1.83317,3.5247,1.01491,0.000322228,0.000322228,0.000322228
36,367.806,1.10973,1.44414,1.15705,0.98028,0.33333,0.33235,0.24094,1.84473,3.47081,1.0397,0.000311479,0.000311479,0.000311479
