epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2314,1.65566,7.02692,1.31317,0.10405,0.10256,0.12672,0.08673,1.4637,4.69217,1.24151,2.858e-05,2.858e-05,2.858e-05
2,77.4301,1.44798,3.96246,1.16981,0.90917,0.28205,0.26333,0.20556,1.2418,3.30918,1.08468,7.13085e-05,7.13085e-05,7.13085e-05
3,120.259,0.94751,2.49018,1.02192,0.36882,0.39,0.40091,0.28547,1.21401,3.11944,1.0019,0.000113867,0.000113867,0.000113867
4,157.362,1.10169,2.27917,1.03602,0.51065,0.62142,0.52123,0.35954,1.08867,2.55449,0.97028,0.000156256,0.000156256,0.000156256
5,194.919,0.85364,1.62799,0.90939,0.46688,0.68991,0.54971,0.3877,1.00711,2.39615,0.92272,0.000198476,0.000198476,0.000198476
6,233.085,0.9208,1.58304,0.98064,0.51397,0.62142,0.56828,0.39994,0.98653,2.1597,0.90304,0.000240525,0.000240525,0.000240525
7,270.205,0.95521,1.48044,0.9451,0.5646,0.75291,0.65986,0.43733,0.98132,1.6584,0.91139,0.000282405,0.000282405,0.000282405
8,310.259,0.92244,1.29524,0.91381,0.69143,0.73001,0.71806,0.47483,0.96951,1.55887,0.92277,0.000324115,0.000324115,0.000324115
9,348.087,0.79411,1.24794,0.90629,0.6023,0.62968,0.62281,0.43968,0.97524,1.34572,0.9529,0.000365655,0.000365655,0.000365655
10,394.147,0.77798,1.15984,0.88596,0.63769,0.52694,0.64123,0.45365,0.93957,1.77535,0.94293,0.000407025,0.000407025,0.000407025
11,438.093,0.84158,1.3534,0.94171,0.709,0.55949,0.68958,0.46418,0.94675,2.55799,0.91955,0.000448226,0.000448226,0.000448226
12,479.626,0.92832,1.13479,0.95415,0.90057,0.47155,0.63918,0.45059,0.90534,2.12875,0.9236,0.000489257,0.000489257,0.000489257
13,519.719,0.79379,1.17067,0.89537,0.58027,0.77484,0.7713,0.46375,0.9867,1.19713,0.92199,0.000530118,0.000530118,0.000530118
14,561.243,0.90298,1.28407,0.94261,0.72475,0.66046,0.7944,0.48521,0.96882,2.25397,0.91628,0.000570809,0.000570809,0.000570809
15,601.096,0.74918,1.0818,0.88098,0.70937,0.78315,0.78777,0.51673,0.92814,1.41815,0.90463,0.000611331,0.000611331,0.000611331
16,639.276,0.82779,0.98457,0.9282,0.8312,0.6683,0.79998,0.53488,0.92817,1.20115,0.90916,0.000651683,0.000651683,0.000651683
17,679.303,0.86834,0.90643,0.92654,0.8294,0.7549,0.79386,0.4754,1.04204,1.62814,0.94204,0.000691865,0.000691865,0.000691865
18,722.013,0.86,0.81845,0.89148,0.86135,0.75007,0.81531,0.49725,1.02083,1.41991,0.95234,0.000731877,0.000731877,0.000731877
19,763.462,0.86477,0.8699,0.91075,0.79812,0.74021,0.80514,0.49821,1.05151,1.373,0.97295,0.000771719,0.000771719,0.000771719
20,802.201,0.87006,0.88289,0.93615,0.47429,0.57843,0.60722,0.40666,0.97942,1.86129,1.00046,0.000811392,0.000811392,0.000811392
21,848.02,0.86642,0.94256,0.92273,0.58839,0.4902,0.54703,0.41484,0.8893,4.6267,0.97809,0.000850895,0.000850895,0.000850895
22,889.324,0.78617,0.78028,0.8865,0.68148,0.72766,0.70665,0.47187,1.03256,1.92373,1.00002,0.000890228,0.000890228,0.000890228
23,933.337,0.89633,0.94368,0.89184,0.49442,0.7548,0.64967,0.40154,1.1557,1.65259,1.09349,0.000929392,0.000929392,0.000929392
24,977.894,0.87741,0.83912,0.91252,0.61237,0.68768,0.72431,0.48804,1.16066,1.39854,1.1068,0.000968386,0.000968386,0.000968386
25,1030.19,0.7825,0.76612,0.93294,0.62691,0.73647,0.75547,0.46298,1.27861,1.68232,1.16187,0.00100721,0.00100721,0.00100721
26,1079.79,0.88691,0.69999,0.88051,0.66178,0.66494,0.70568,0.43564,1.29293,2.20693,1.18239,0.00104586,0.00104586,0.00104586
27,1131.39,0.79327,0.80554,0.90565,0.68832,0.55531,0.67088,0.40291,1.33452,1.82783,1.17602,0.00108435,0.00108435,0.00108435
28,1191.81,0.89958,0.80292,0.92308,0.90361,0.42476,0.63976,0.41225,1.26437,1.78851,1.07558,0.00112266,0.00112266,0.00112266
29,1244.59,0.92844,0.80545,0.8907,0.90361,0.42476,0.63976,0.41225,1.26437,1.78851,1.07558,0.00116081,0.00116081,0.00116081
30,1293.39,0.81516,0.70064,0.90425,0.83953,0.5444,0.68182,0.46335,1.1035,1.55168,0.97998,0.00119878,0.00119878,0.00119878
31,1345.34,0.8634,0.72487,0.89708,0.72784,0.68242,0.76189,0.50747,1.04845,1.53713,0.93936,0.00123659,0.00123659,0.00123659
32,1396.24,0.85161,0.7365,0.89173,0.85067,0.53318,0.74644,0.45566,1.30749,1.43264,0.98834,0.00127422,0.00127422,0.00127422
33,1455.63,0.82676,0.70865,0.8771,0.85067,0.53318,0.74644,0.45566,1.30749,1.43264,0.98834,0.00131169,0.00131169,0.00131169
34,1505.92,1.09498,0.88337,1.08131,0.75988,0.65652,0.74964,0.48151,1.05381,1.06218,0.9007,0.00133563,0.00133563,0.00133563
35,1560.5,0.91892,0.74447,0.88955,0.67579,0.63317,0.71513,0.4449,1.05769,1.74441,0.92579,0.0013328,0.0013328,0.0013328
36,1604.55,0.85823,0.65122,0.90303,0.79181,0.55644,0.7555,0.46814,1.03616,2.41964,0.90256,0.00132997,0.00132997,0.00132997
