epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.51863,1.70106,3.73251,1.64145,0.00286,0.33333,0.04797,0.04146,1.05914,4.04974,0.9124,1.429e-05,1.429e-05,1.429e-05
2,16.634,1.63389,3.58709,1.50557,0.0028,0.33333,0.20288,0.16322,0.97423,4.01019,0.87736,4.20212e-05,4.20212e-05,4.20212e-05
3,24.253,1.35233,3.39417,1.35749,0.00292,0.33333,0.26533,0.2388,0.93087,3.96336,0.85284,6.86206e-05,6.86206e-05,6.86206e-05
4,32.1851,1.19193,3.28687,1.26056,0.00321,0.33333,0.29833,0.25686,0.97364,3.94369,0.84692,9.40882e-05,9.40882e-05,9.40882e-05
5,39.855,1.05735,2.98527,1.15512,0.00379,0.33333,0.29833,0.23369,1.04342,3.91003,0.85969,0.000118424,0.000118424,0.000118424
6,47.5054,1.20937,2.83781,1.26666,0.00434,0.33333,0.29833,0.2337,1.11316,3.85771,0.88598,0.000141628,0.000141628,0.000141628
7,55.3881,1.15042,2.32726,1.20713,0.00632,0.33333,0.29833,0.23374,1.19954,3.80729,0.90086,0.000163701,0.000163701,0.000163701
8,63.02,1.22011,2.06757,1.17351,0.00673,0.33333,0.29833,0.2569,1.22597,3.78288,0.88359,0.000184641,0.000184641,0.000184641
9,70.7338,1.01596,1.85722,1.15237,0.00606,0.33333,0.29833,0.25689,1.20198,3.74561,0.87565,0.00020445,0.00020445,0.00020445
10,78.3751,1.09889,1.89595,1.1166,0.0056,0.33333,0.29833,0.2685,1.18473,3.71429,0.86679,0.000223127,0.000223127,0.000223127
11,86.9716,1.17943,1.71584,1.10379,0.00582,0.33333,0.29833,0.2685,1.17107,3.68738,0.858,0.000240672,0.000240672,0.000240672
12,95.4972,1.1996,1.90536,1.21593,0.00601,0.33333,0.29833,0.2685,1.17691,3.65818,0.85568,0.000257086,0.000257086,0.000257086
13,103.667,1.18006,1.87324,1.14906,0.00844,0.33333,0.29833,0.2685,1.1594,3.64505,0.84944,0.000272367,0.000272367,0.000272367
14,112.18,1.11262,1.44149,1.13186,0.00959,0.33333,0.28167,0.25631,1.14603,3.64026,0.84691,0.000286517,0.000286517,0.000286517
15,120.033,1.01021,1.82874,1.19685,0.0105,0.33333,0.29833,0.27064,1.12293,3.63869,0.84002,0.000299536,0.000299536,0.000299536
16,127.875,1.25524,1.7472,1.1641,0.01258,0.33333,0.29833,0.27066,1.15522,3.63668,0.84156,0.000311422,0.000311422,0.000311422
17,135.69,1.02945,1.47811,1.05339,0.01418,0.33333,0.29833,0.2685,1.22185,3.62448,0.85254,0.000322177,0.000322177,0.000322177
18,143.568,1.0827,1.68159,1.10025,0.00966,0.33333,0.29833,0.26151,1.28973,3.60396,0.86476,0.0003318,0.0003318,0.0003318
19,151.371,1.08163,1.59826,1.09307,0.90168,0.33333,0.26533,0.23099,1.3524,3.56125,0.86971,0.000340291,0.000340291,0.000340291
20,161.081,1.11632,1.62694,1.0513,0.92084,0.33333,0.26558,0.23902,1.4134,3.48752,0.87823,0.00034765,0.00034765,0.00034765
21,169.304,1.17498,1.446,1.13099,0.92289,0.33333,0.26559,0.22861,1.42251,3.40065,0.88201,0.000353878,0.000353878,0.000353878
22,177.423,1.10861,1.40483,1.04302,0.91733,0.33333,0.26558,0.23115,1.42265,3.30197,0.88793,0.000358973,0.000358973,0.000358973
23,185.209,1.1126,1.4413,1.02989,0.91626,0.33333,0.26643,0.23172,1.40912,3.22279,0.88938,0.000362937,0.000362937,0.000362937
24,193.157,1.08742,1.53705,1.09261,0.91475,0.33333,0.30152,0.24967,1.42673,3.18068,0.89412,0.00036577,0.00036577,0.00036577
25,200.982,0.99869,1.42878,1.08934,0.91841,0.33333,0.28709,0.23846,1.3933,3.14654,0.9047,0.00036747,0.00036747,0.00036747
26,208.944,1.00506,1.42034,1.09702,0.92292,0.33333,0.28142,0.23775,1.42204,3.16875,0.90836,0.000368039,0.000368039,0.000368039
27,217.281,0.95549,1.40126,1.04556,0.92425,0.33333,0.27721,0.23221,1.46753,3.16393,0.9108,0.000367476,0.000367476,0.000367476
28,225.144,1.0038,1.31192,1.04246,0.92425,0.33333,0.27721,0.23221,1.46753,3.16393,0.9108,0.000365781,0.000365781,0.000365781
29,233.276,1.1195,1.4965,1.12402,0.92448,0.33333,0.29617,0.2557,1.41412,3.12381,0.89894,0.000362955,0.000362955,0.000362955
30,241.127,1.04029,1.32063,1.1749,0.92118,0.33333,0.34826,0.28877,1.36046,3.08801,0.89545,0.000358996,0.000358996,0.000358996
31,248.706,0.97696,1.23474,1.03498,0.92118,0.33333,0.34826,0.28877,1.36046,3.08801,0.89545,0.000353906,0.000353906,0.000353906
32,256.458,0.96534,1.25552,1.0395,0.91685,0.33333,0.38938,0.32732,1.31651,2.9879,0.8932,0.000347684,0.000347684,0.000347684
33,264.224,1.20896,1.35861,1.23314,0.90112,0.33333,0.49075,0.36573,1.31039,2.82726,0.89457,0.000340331,0.000340331,0.000340331
34,271.85,1.01987,1.49128,1.14253,0.90112,0.33333,0.49075,0.36573,1.31039,2.82726,0.89457,0.000331845,0.000331845,0.000331845
35,279.634,1.00303,1.26271,1.0672,0.8987,0.33333,0.57266,0.39568,1.33352,2.6715,0.90031,0.000322228,0.000322228,0.000322228
36,287.398,1.06555,1.29283,1.09523,0.89687,0.33333,0.58672,0.39672,1.39078,2.54234,0.92024,0.000311479,0.000311479,0.000311479
37,295.374,1.08241,1.23852,1.21228,0.89687,0.33333,0.58672,0.39672,1.39078,2.54234,0.92024,0.000299598,0.000299598,0.000299598
